11:54:00.226 [MainThread] INFO    thonny: Thonny version: 4.1.3
11:54:12.017 [MainThread] INFO    thonny: NEW MODS ['_blake2', '_hashlib', '_heapq', '_posixsubprocess', '_queue', '_ssl', '_tkinter', 'configparser', 'email.feedparser', 'email.parser', 'encodings.ascii', 'faulthandler', 'fcntl', 'gettext', 'hashlib', 'heapq', 'http', 'http.client', 'pkgutil', 'platform', 'queue', 'runpy', 'shlex', 'signal', 'ssl', 'subprocess', 'thonny.assistance', 'thonny.ast_utils', 'thonny.backend', 'thonny.base_file_browser', 'thonny.codeview', 'thonny.config', 'thonny.config_ui', 'thonny.editor_helpers', 'thonny.editors', 'thonny.languages', 'thonny.memory', 'thonny.misc_utils', 'thonny.plugins', 'thonny.plugins.about', 'thonny.plugins.assistant_config_page', 'thonny.plugins.ast_view', 'thonny.plugins.autocomplete', 'thonny.plugins.backend', 'thonny.plugins.backend_config_page', 'thonny.plugins.base_syntax_themes', 'thonny.plugins.base_ui_themes', 'thonny.plugins.birdseye_frontend', 'thonny.plugins.calltip', 'thonny.plugins.cells', 'thonny.plugins.circuitpython', 'thonny.plugins.circuitpython.cirpy_front', 'thonny.plugins.clean_ui_themes', 'thonny.plugins.coloring', 'thonny.plugins.commenting_indenting', 'thonny.plugins.common_editing_commands', 'thonny.plugins.cpython_backend', 'thonny.plugins.cpython_backend.cp_back', 'thonny.plugins.cpython_frontend', 'thonny.plugins.cpython_frontend.cp_front', 'thonny.plugins.cpython_ssh', 'thonny.plugins.cpython_ssh.cps_front', 'thonny.plugins.debugger', 'thonny.plugins.dock_user_windows_frontend', 'thonny.plugins.editor_config_page', 'thonny.plugins.esp', 'thonny.plugins.ev3', 'thonny.plugins.event_logging', 'thonny.plugins.event_view', 'thonny.plugins.files', 'thonny.plugins.find_replace', 'thonny.plugins.general_config_page', 'thonny.plugins.goto_definition', 'thonny.plugins.heap', 'thonny.plugins.help', 'thonny.plugins.highlight_names', 'thonny.plugins.locals_marker', 'thonny.plugins.microbit', 'thonny.plugins.micropython', 'thonny.plugins.micropython.base_flashing_dialog', 'thonny.plugins.micropython.esptool_dialog', 'thonny.plugins.micropython.mp_common', 'thonny.plugins.micropython.mp_front', 'thonny.plugins.micropython.uf2dialog', 'thonny.plugins.misc_analyzers', 'thonny.plugins.mypy', 'thonny.plugins.notes', 'thonny.plugins.object_inspector', 'thonny.plugins.outline', 'thonny.plugins.paren_matcher', 'thonny.plugins.pgzero_frontend', 'thonny.plugins.pi', 'thonny.plugins.pip_gui', 'thonny.plugins.prime_inventor', 'thonny.plugins.printing', 'thonny.plugins.pylint', 'thonny.plugins.pylint.messages', 'thonny.plugins.pythontutor', 'thonny.plugins.remove_old_data_dir', 'thonny.plugins.replayer', 'thonny.plugins.rp2040', 'thonny.plugins.rpi_pico', 'thonny.plugins.run_debug_config_page', 'thonny.plugins.shell_config_page', 'thonny.plugins.shell_macro', 'thonny.plugins.statement_boxes', 'thonny.plugins.stdlib_error_helpers', 'thonny.plugins.system_shell', 'thonny.plugins.terminal_config_page', 'thonny.plugins.theme_and_font_config_page', 'thonny.plugins.thonny_folders', 'thonny.plugins.todo_view', 'thonny.plugins.tomorrow_syntax_theme', 'thonny.plugins.variables', 'thonny.roughparse', 'thonny.rst_utils', 'thonny.running', 'thonny.shell', 'thonny.terminal', 'thonny.tktextext', 'thonny.token_utils', 'thonny.ui_utils', 'thonny.workbench', 'thonny.workdlg', 'tkinter', 'tkinter.commondialog', 'tkinter.constants', 'tkinter.dialog', 'tkinter.filedialog', 'tkinter.font', 'tkinter.messagebox', 'tkinter.simpledialog', 'tkinter.ttk', 'urllib.error', 'urllib.request', 'urllib.response', 'webbrowser']
11:54:12.046 [MainThread] INFO    thonny.running: Killing backend process
11:54:12.046 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:54:12.052 [Thread-2 (_listen_stdout)] INFO    thonny.running: Reader got EOF
11:54:12.262 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_3', local_cwd='/home/pi/Desktop')
11:54:12.265 [MainThread] INFO    thonny: TIME/MODS 0.248 After Run 
11:59:11.776 [MainThread] INFO    thonny.running: Killing backend process
11:59:11.778 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
11:59:11.795 [Thread-4 (_listen_stdout)] INFO    thonny.running: Reader got EOF
11:59:11.835 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
11:59:11.836 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:59:12.047 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
11:59:13.150 [MainThread] INFO    thonny: TIME/MODS 300.885 Before Run 
11:59:13.157 [MainThread] INFO    thonny.running: Killing backend process
11:59:13.158 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:59:13.163 [Thread-6 (_listen_stdout)] INFO    thonny.running: Reader got EOF
11:59:13.318 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_63', local_cwd='/home/pi/Desktop')
11:59:13.321 [MainThread] INFO    thonny: TIME/MODS 0.170 After Run 
11:59:53.141 [MainThread] INFO    thonny.running: Killing backend process
11:59:53.142 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
11:59:53.156 [Thread-8 (_listen_stdout)] INFO    thonny.running: Reader got EOF
11:59:53.236 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
11:59:53.237 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:59:53.414 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
11:59:54.214 [MainThread] INFO    thonny: TIME/MODS 40.893 Before Run 
11:59:54.228 [MainThread] INFO    thonny.running: Killing backend process
11:59:54.228 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
11:59:54.233 [Thread-10 (_listen_stdout)] INFO    thonny.running: Reader got EOF
11:59:54.392 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_79', local_cwd='/home/pi/Desktop')
11:59:54.395 [MainThread] INFO    thonny: TIME/MODS 0.182 After Run 
12:00:17.881 [MainThread] INFO    thonny.running: Killing backend process
12:00:17.887 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:00:17.890 [Thread-12 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:00:17.920 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:00:17.921 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:00:18.084 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:00:18.430 [MainThread] INFO    thonny.running: Killing backend process
12:00:18.431 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:00:18.435 [Thread-14 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:00:18.467 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:00:18.467 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:00:18.637 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:00:19.641 [MainThread] INFO    thonny: TIME/MODS 25.245 Before Run 
12:00:19.648 [MainThread] INFO    thonny.running: Killing backend process
12:00:19.648 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:00:19.653 [Thread-16 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:00:19.807 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_85', local_cwd='/home/pi/Desktop')
12:00:19.810 [MainThread] INFO    thonny: TIME/MODS 0.170 After Run 
12:01:07.728 [MainThread] INFO    thonny.running: Killing backend process
12:01:07.731 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:01:07.740 [Thread-18 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:01:07.785 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:01:07.786 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:01:07.994 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:01:09.328 [MainThread] INFO    thonny: TIME/MODS 49.518 Before Run 
12:01:09.356 [MainThread] INFO    thonny.running: Killing backend process
12:01:09.360 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:01:09.362 [Thread-20 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:01:09.522 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_99', local_cwd='/home/pi/Desktop')
12:01:09.525 [MainThread] INFO    thonny: TIME/MODS 0.197 After Run 
12:02:07.273 [MainThread] INFO    thonny.running: Killing backend process
12:02:07.274 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:02:07.282 [Thread-22 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:02:07.326 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:02:07.326 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:02:07.514 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:02:08.489 [MainThread] INFO    thonny: TIME/MODS 58.964 Before Run 
12:02:08.505 [MainThread] INFO    thonny.running: Killing backend process
12:02:08.505 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:02:08.511 [Thread-24 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:02:08.668 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_110', local_cwd='/home/pi/Desktop')
12:02:08.671 [MainThread] INFO    thonny: TIME/MODS 0.182 After Run 
12:04:39.712 [MainThread] INFO    thonny.running: Killing backend process
12:04:39.712 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:04:39.724 [Thread-26 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:04:39.753 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:04:39.754 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:04:39.961 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:04:41.200 [MainThread] INFO    thonny: TIME/MODS 152.529 Before Run 
12:04:41.207 [MainThread] INFO    thonny.running: Killing backend process
12:04:41.208 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:04:41.212 [Thread-28 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:04:41.371 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_178', local_cwd='/home/pi/Desktop')
12:04:41.374 [MainThread] INFO    thonny: TIME/MODS 0.174 After Run 
12:09:14.984 [MainThread] INFO    thonny.running: Killing backend process
12:09:14.984 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:09:14.994 [Thread-30 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:09:15.026 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:09:15.028 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:09:15.239 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:09:16.008 [MainThread] INFO    thonny: TIME/MODS 274.634 Before Run 
12:09:16.036 [MainThread] INFO    thonny.running: Killing backend process
12:09:16.036 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:09:16.041 [Thread-32 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:09:16.201 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_221', local_cwd='/home/pi/Desktop')
12:09:16.204 [MainThread] INFO    thonny: TIME/MODS 0.196 After Run 
12:14:46.807 [MainThread] INFO    thonny.running: Killing backend process
12:14:46.808 [MainThread] INFO    thonny.shell: BaseShellText._on_backend_terminated
12:14:46.820 [Thread-34 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:14:46.852 [MainThread] INFO    thonny.plugins.cpython_frontend.cp_front: Creating LocalCPythonProxy
12:14:46.853 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:14:47.031 [MainThread] INFO    thonny.shell: BaseShellText.restart(False)
12:35:28.470 [MainThread] INFO    thonny: TIME/MODS 1572.266 Before Run 
12:35:28.477 [MainThread] INFO    thonny.running: Killing backend process
12:35:28.478 [MainThread] INFO    thonny.running: Starting the backend: ['/usr/bin/python3', '-u', '-B', '/usr/lib/python3/dist-packages/thonny/plugins/cpython_backend/cp_launcher.py', '/home/pi/Desktop', "{'run.warn_module_shadowing': True}"] /home/pi/Desktop
12:35:28.483 [Thread-36 (_listen_stdout)] INFO    thonny.running: Reader got EOF
12:35:28.678 [MainThread] INFO    thonny.running: Prepared clean state for executing ToplevelCommand(args=['script.py'], args_str='script.py', cmd_line='%Run script.py', tty_mode=True, source=None, name='Run', argv=[], id='cmd_238', local_cwd='/home/pi/Desktop')
12:35:28.681 [MainThread] INFO    thonny: TIME/MODS 0.212 After Run 
